journal,ISSN,eISSN,categories
Casopis za Ekonomiju i Trzisne Komunikacije,2232-8823,2232-9633,[BUSINESS]
Environment and Planning B-Urban Analytics and City Science,2399-8083,2399-8091,"[ENVIRONMENTAL STUDIES, GEOGRAPHY, URBAN STUDIES]"
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,0309-1317,1468-2427,"[GEOGRAPHY, URBAN STUDIES]"
Local Environment,1354-9839,1469-6711,"[ENVIRONMENTAL STUDIES, GEOGRAPHY, URBAN STUDIES]"
Environment and Planning C-Politics and Space,2399-6544,2399-6552,"[ENVIRONMENTAL STUDIES, GEOGRAPHY, PUBLIC ADMINISTRATION]"
Population Space and Place,1544-8444,1544-8452,"[DEMOGRAPHY, GEOGRAPHY]"
GEOGRAPHICAL JOURNAL,0016-7398,1475-4959,[GEOGRAPHY]
AREA,0004-0894,1475-4762,[GEOGRAPHY]
ANNALS OF REGIONAL SCIENCE,0570-1864,1432-0592,"[ECONOMICS, ENVIRONMENTAL STUDIES, GEOGRAPHY]"
Journal of Maps,1744-5647,1744-5647,[GEOGRAPHY]
Regional Science Policy and Practice,1757-7802,1757-7802,[GEOGRAPHY]
Journal of Geographical Systems,1435-5930,1435-5949,[GEOGRAPHY]
Erdkunde,0014-0015,0014-0015,[GEOGRAPHY]
Geographia Polonica,0016-7282,2300-7362,[GEOGRAPHY]
Bulletin of Geography-Socio-Economic Series,1732-4254,2083-8298,[GEOGRAPHY]
Scripta Nova-Revista Electronica de Geografia y Ciencias Sociales,1138-9788,1138-9788,[GEOGRAPHY]
Revista Geografica de America Central,1011-484X,2215-2563,[GEOGRAPHY]
Geograficando,1850-1885,2346-898X,[GEOGRAPHY]
JOURNAL OF POPULATION RESEARCH,1443-2447,1835-9469,[DEMOGRAPHY]
REVIEW OF ECONOMIC STUDIES,0034-6527,1467-937X,[ECONOMICS]
TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,1366-5545,1878-5794,"[ECONOMICS, OPERATIONS RESEARCH & MANAGEMENT SCIENCE, TRANSPORTATION]"
JOURNAL OF ECONOMIC THEORY,0022-0531,1095-7235,[ECONOMICS]
Journal of the European Economic Association,1542-4766,1542-4774,[ECONOMICS]
JOURNAL OF ECONOMIC PSYCHOLOGY,0167-4870,1872-7719,[ECONOMICS]
Empirical Economics,0377-7332,1435-8921,[ECONOMICS]
Structural Change and Economic Dynamics,0954-349X,1873-6017,[ECONOMICS]
JOURNAL OF REGIONAL SCIENCE,0022-4146,1467-9787,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
REVIEW OF ECONOMIC DYNAMICS,1094-2025,1096-6099,[ECONOMICS]
JOURNAL OF LAW ECONOMICS & ORGANIZATION,8756-6222,1465-7341,[ECONOMICS]
SCANDINAVIAN JOURNAL OF ECONOMICS,0347-0520,1467-9442,[ECONOMICS]
JOURNAL OF EVOLUTIONARY ECONOMICS,0936-9937,1432-1386,[ECONOMICS]
Journal of the Association of Environmental and Resource Economists,2333-5955,2333-5963,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
International Environmental Agreements-Politics Law and Economics,1567-9764,1573-1553,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
Journal of Sports Economics,1527-0025,1552-7794,[ECONOMICS]
THEORY AND DECISION,0040-5833,1573-7187,[ECONOMICS]
POST-SOVIET AFFAIRS,1060-586X,1938-2855,"[AREA STUDIES, ECONOMICS]"
OPEN ECONOMIES REVIEW,0923-7992,1573-708X,[ECONOMICS]
Research in Globalization,N/A,2590-051X,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
JAPAN AND THE WORLD ECONOMY,0922-1425,1879-2006,[ECONOMICS]
European Journal of the History of Economic Thought,0967-2567,1469-5936,[ECONOMICS]
National Institute Economic Review,0027-9501,1741-3036,[ECONOMICS]
Economics of Energy & Environmental Policy,2160-5882,2160-5890,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
OPEC Energy Review,1753-0229,1753-0237,[ECONOMICS]
Romanian Journal of Economic Forecasting,1582-6163,2537-6071,[ECONOMICS]
Annals of Financial Economics,2010-4952,2010-4960,[ECONOMICS]
Panoeconomicus,1452-595X,2217-2386,[ECONOMICS]
Journal of Global Economic Analysis,2377-2999,2377-2999,[ECONOMICS]
Macroeconomics and Finance in Emerging Market Economies,1752-0843,1752-0851,[ECONOMICS]
B E Journal of Theoretical Economics,2194-6124,1935-1704,[ECONOMICS]
Investigacion Economica,0185-1667,N/A,[ECONOMICS]
New Zealand Economic Papers,0077-9954,1943-4863,[ECONOMICS]
Review of Economic Design,1434-4742,1434-4750,[ECONOMICS]
Environmental Economics,1998-6041,1998-605X,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
Journal of the British Blockchain Association,N/A,2516-3957,[ECONOMICS]
Evolutionary and Institutional Economics Review,1349-4961,2188-2096,[ECONOMICS]
Eskisehir Osmangazi Universitesi IIBF Dergisi-Eskisehir Osmangazi University Journal of Economics and Administrative Sciences,1306-6730,1306-6730,[ECONOMICS]
Revista de Economia Mundial,1576-0162,2340-4264,[ECONOMICS]
Journal of Applied Economics and Business Research,1927-033X,1927-033X,[ECONOMICS]
Economics of Peace and Security Journal,1749-852X,1749-852X,[ECONOMICS]
Lecturas de Economia,0120-2596,2323-0622,[ECONOMICS]
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,1361-9209,1879-2340,"[ENVIRONMENTAL STUDIES, TRANSPORTATION]"
Journal of Intelligent Transportation Systems,1547-2450,1547-2442,[TRANSPORTATION]
Asian Transport Studies,2185-5560,2185-5560,[TRANSPORTATION]
Annual Review of Environment and Resources,1543-5938,1545-2050,[ENVIRONMENTAL STUDIES]
HUMAN ECOLOGY,0300-7839,1572-9915,[ENVIRONMENTAL STUDIES]
JOURNAL OF ENVIRONMENTAL EDUCATION,0095-8964,1940-1892,[ENVIRONMENTAL STUDIES]
INTERNATIONAL JOURNAL OF URBAN SCIENCES,1226-5934,2161-6779,"[ENVIRONMENTAL STUDIES, URBAN STUDIES]"
Global Social Challenges Journal,N/A,2752-3349,[ENVIRONMENTAL STUDIES]
Chinese Journal of Environmental Law,2468-6034,2468-6042,[ENVIRONMENTAL STUDIES]
LATIN AMERICAN POLITICS AND SOCIETY,1531-426X,1548-2456,[AREA STUDIES]
JOURNAL OF PALESTINE STUDIES,0377-919X,1533-8614,[AREA STUDIES]
Journal of Balkan and Near Eastern Studies,1944-8953,1944-8961,[AREA STUDIES]
Journal of Contemporary East Asia Studies,2476-1028,2476-1036,[AREA STUDIES]
China Report,0009-4455,0973-063X,[AREA STUDIES]
NWIG-New West Indian Guide-Nieuwe West-Indische Gids,1382-2373,1382-2373,[AREA STUDIES]
African Diaspora,1872-5457,1872-5465,[AREA STUDIES]
Estudios del Desarrollo Social-Cuba y America Latina,2308-0132,2308-0132,[AREA STUDIES]
European Integration Studies,1822-8402,2335-8831,[AREA STUDIES]
Biogeosciences,1726-4170,1726-4189,[ECOLOGY]
MICROBIAL ECOLOGY,0095-3628,1432-184X,[ECOLOGY]
Global Ecology and Conservation,N/A,2351-9894,[ECOLOGY]
ENVIRONMENTAL BIOLOGY OF FISHES,0378-1909,1573-5133,[ECOLOGY]
Fire-Switzerland,2571-6255,2571-6255,"[ECOLOGY, FORESTRY]"
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,0003-0090,1937-3546,[ECOLOGY]
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,1022-0119,1727-9380,[ECOLOGY]
Theoretical and Applied Ecology,1995-4301,2618-8406,[ECOLOGY]
TOWN PLANNING REVIEW,0041-0020,1478-341X,[URBAN STUDIES]
Territorios,0123-8418,2215-7484,[URBAN STUDIES]
Nodo,1909-3888,2346-092X,[URBAN STUDIES]
Journal of Comparative Policy Analysis,1387-6988,1572-5448,[PUBLIC ADMINISTRATION]
Transylvanian Review of Administrative Sciences,1842-2845,2247-8310,[PUBLIC ADMINISTRATION]
Civil Szemle,1786-3341,1786-3341,[PUBLIC ADMINISTRATION]
Chinese Public Administration Review,1539-6754,2573-1483,[PUBLIC ADMINISTRATION]
INTERNATIONAL JOURNAL OF WILDLAND FIRE,1049-8001,1448-5516,[FORESTRY]
INTERNATIONAL FORESTRY REVIEW,1465-5489,2053-7778,[FORESTRY]
Revista Chapingo Serie Ciencias Forestales y del Ambiente,2007-3828,2007-4018,[FORESTRY]
RAIRO-OPERATIONS RESEARCH,0399-0559,2804-7303,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Journalism,1464-8849,1741-3001,[COMMUNICATION]
Discourse & Communication,1750-4813,1750-4821,[COMMUNICATION]
International Journal of Sport Communication,1936-3915,1936-3907,[COMMUNICATION]
Communication & Society-Spain,2386-7876,2386-7876,[COMMUNICATION]
Popular Communication,1540-5702,1540-5710,[COMMUNICATION]
Chasqui-Revista Latinoamericana de Comunicacion,1390-1079,1390-924X,[COMMUNICATION]
Galactica Media-Journal of Media Studies - Galaktika Media-Zhurnal Media Issledovanij,N/A,2658-7734,[COMMUNICATION]
Communiquer,N/A,2368-9587,[COMMUNICATION]
ILEF Dergisi,2148-7219,2458-9209,[COMMUNICATION]
Revista Comunicacao Midiatica,2236-8000,2236-8000,[COMMUNICATION]
Agricultural and Resource Economics Review,1068-2805,2372-2614,[AGRICULTURAL ECONOMICS & POLICY]
Agrekon,0303-1853,2078-0400,[AGRICULTURAL ECONOMICS & POLICY]
Labor-Studies in Working-Class History of the Americas,1547-6715,1558-1454,[INDUSTRIAL RELATIONS & LABOR]
HEALTH PROMOTION INTERNATIONAL,0957-4824,1460-2245,[HEALTH POLICY & SERVICES]
Health Research Policy and Systems,1478-4505,1478-4505,[HEALTH POLICY & SERVICES]
HEALTH CARE MANAGEMENT REVIEW,0361-6274,1550-5030,[HEALTH POLICY & SERVICES]
Health Care Management Science,1386-9620,1572-9389,[HEALTH POLICY & SERVICES]
SCIENCES SOCIALES ET SANTE,0294-0337,1777-5914,[HEALTH POLICY & SERVICES]
JOURNAL OF MEDICAL INTERNET RESEARCH,1438-8871,N/A,[HEALTH CARE SCIENCES & SERVICES]
JOURNAL OF PALLIATIVE MEDICINE,1096-6218,1557-7740,[HEALTH CARE SCIENCES & SERVICES]
JOURNAL OF TELEMEDICINE AND TELECARE,1357-633X,1758-1109,[HEALTH CARE SCIENCES & SERVICES]
EASTERN MEDITERRANEAN HEALTH JOURNAL,1020-3397,1687-1634,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
MEDICAL CARE RESEARCH AND REVIEW,1077-5587,1552-6801,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Joint Commission Journal on Quality and Patient Safety,1553-7250,1938-131X,[HEALTH CARE SCIENCES & SERVICES]
HASTINGS CENTER REPORT,0093-0334,1552-146X,[HEALTH CARE SCIENCES & SERVICES]
Journal of the American Association of Nurse Practitioners,2327-6886,2327-6924,[HEALTH CARE SCIENCES & SERVICES]
NEJM Catalyst Innovations in Care Delivery,N/A,2642-0007,[HEALTH CARE SCIENCES & SERVICES]
Informatics for Health & Social Care,1753-8157,1753-8165,[HEALTH CARE SCIENCES & SERVICES]
International Journal of Telemedicine and Applications,1687-6415,1687-6423,[HEALTH CARE SCIENCES & SERVICES]
Journal of Pharmaceutical Health Services Research,1759-8885,1759-8893,[HEALTH CARE SCIENCES & SERVICES]
Palliative Medicine Reports,2689-2820,2689-2820,[HEALTH CARE SCIENCES & SERVICES]
JMIR AI,N/A,2817-1705,[HEALTH CARE SCIENCES & SERVICES]
Health Problems of Civilization,2353-6942,2354-0265,[HEALTH CARE SCIENCES & SERVICES]
JOURNAL OF FINANCE,0022-1082,1540-6261,"['BUSINESS, FINANCE', ECONOMICS]"
Pacific-Basin Finance Journal,0927-538X,1879-0585,"['BUSINESS, FINANCE']"
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,0261-5606,1873-0639,"['BUSINESS, FINANCE']"
JOURNAL OF FUTURES MARKETS,0270-7314,1096-9934,"['BUSINESS, FINANCE']"
Journal of Accounting Auditing and Finance,0148-558X,2160-4061,"['BUSINESS, FINANCE']"
Journal of Applied Corporate Finance,1078-1196,1745-6622,"['BUSINESS, FINANCE']"
Journal of Emerging Technologies in Accounting,1554-1908,1558-7940,"['BUSINESS, FINANCE']"
Journal of Corporate Accounting and Finance,1044-8136,1097-0053,"['BUSINESS, FINANCE']"
Journal of Emerging Market Finance,0972-6527,0973-0710,"['BUSINESS, FINANCE']"
Review of Derivatives Research,1380-6645,1573-7144,"['BUSINESS, FINANCE', ECONOMICS]"
National Accounting Review,N/A,2689-3010,"['BUSINESS, FINANCE', ECONOMICS]"
Journal of Tax Reform,2412-8872,2414-9497,"['BUSINESS, FINANCE']"
Algorithmic Finance,2158-5571,2157-6203,"['BUSINESS, FINANCE']"
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,0749-5978,1095-9920,[MANAGEMENT]
INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT,0958-5192,1466-4399,[MANAGEMENT]
Engineering Construction and Architectural Management,0969-9988,1365-232X,[MANAGEMENT]
Academy of Management Perspectives,1558-9080,N/A,"[BUSINESS, MANAGEMENT]"
JOURNAL OF TECHNOLOGY TRANSFER,0892-9912,1573-7047,[MANAGEMENT]
INDUSTRIAL AND CORPORATE CHANGE,0960-6491,1464-3650,"[BUSINESS, ECONOMICS, MANAGEMENT]"
Business Process Management Journal,1463-7154,1758-4116,"[BUSINESS, MANAGEMENT]"
TQM Journal,1754-2731,1754-274X,[MANAGEMENT]
Journal of Business Logistics,0735-3766,2158-1592,[MANAGEMENT]
EMPLOYEE RELATIONS,0142-5455,1758-7069,"[INDUSTRIAL RELATIONS & LABOR, MANAGEMENT]"
NEW TECHNOLOGY WORK AND EMPLOYMENT,0268-1072,1468-005X,[MANAGEMENT]
European Journal of Training and Development,2046-9012,2046-9020,[MANAGEMENT]
CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,0825-0383,1936-4490,"[BUSINESS, MANAGEMENT]"
Vision-The Journal of Business Perspective,0972-2629,2249-5304,"[BUSINESS, MANAGEMENT]"
International Journal of Disclosure and Governance,1741-3591,1746-6539,[MANAGEMENT]
International Journal of Shipping and Transport Logistics,1756-6517,1756-6525,"[MANAGEMENT, TRANSPORTATION]"
Journal of Work-Applied Management,2205-2062,2205-149X,[MANAGEMENT]
Journal of Co-operative Organization and Management,2213-297X,2213-2988,[MANAGEMENT]
International Journal of Innovation and Learning,1471-8197,1741-8089,[MANAGEMENT]
International Journal of Management Studies,2232-1608,2180-2467,[MANAGEMENT]
Latin American Business Review,1097-8526,1528-6932,"[BUSINESS, ECONOMICS, MANAGEMENT]"
Teoria e Pratica em Administracao-TPA,2238-104X,2238-104X,[MANAGEMENT]
Journal of Business Research,0148-2963,1873-7978,[BUSINESS]
Internet Research,1066-2243,1066-2243,[BUSINESS]
JOURNAL OF ADVERTISING,0091-3367,1557-7805,"[BUSINESS, COMMUNICATION]"
JOURNAL OF BUSINESS AND PSYCHOLOGY,0889-3268,1573-353X,[BUSINESS]
Corporate Governance-The International Journal of Business in Society,1472-0701,1758-6054,[BUSINESS]
Journal of Strategic Marketing,0965-254X,1466-4488,[BUSINESS]
Journal of Vacation Marketing,1356-7667,1479-1870,[BUSINESS]
Journal of Personal Selling & Sales Management,0885-3134,1557-7813,[BUSINESS]
Journal of International Consumer Marketing,0896-1530,1528-7068,[BUSINESS]
Journal of Internet Commerce,1533-2861,1533-287X,[BUSINESS]
Multinational Business Review,1525-383X,2054-1686,[BUSINESS]
Recherche et Applications en Marketing-English Edition,2051-5707,2051-5707,[BUSINESS]
Journal of Industry Competition & Trade,1566-1679,1573-7012,[BUSINESS]
Health Marketing Quarterly,0735-9683,1545-0864,"[BUSINESS, HEALTH POLICY & SERVICES]"
ESIC Market,0212-1867,1989-3574,[BUSINESS]
Revista Universidad Empresa,0124-4639,2145-4558,[BUSINESS]
APPLIED GEOGRAPHY,0143-6228,1873-7730,[GEOGRAPHY]
Urban Policy and Research,0811-1146,1476-7244,"[ENVIRONMENTAL STUDIES, GEOGRAPHY, URBAN STUDIES]"
Asia Pacific Viewpoint,1360-7456,1467-8373,"[AREA STUDIES, GEOGRAPHY]"
Documents d Analisi Geografica,0212-1573,2014-4512,[GEOGRAPHY]
Geografie,N/A,1212-0014,[GEOGRAPHY]
Miscellanea Geographica,0867-6046,2084-6118,[GEOGRAPHY]
Geograficidade,2238-0205,2238-0205,[GEOGRAPHY]
Immigrants and Minorities,0261-9288,1744-0521,[DEMOGRAPHY]
Estudios Demograficos y Urbanos,0186-7210,2448-6515,[DEMOGRAPHY]
Asian American Journal of Psychology,1948-1985,1948-1993,[ETHNIC STUDIES]
Social Identities,1350-4630,1363-0296,[ETHNIC STUDIES]
PATTERNS OF PREJUDICE,0031-322X,1461-7331,[ETHNIC STUDIES]
Journal of Multicultural Discourses,1744-7143,1747-6615,"[COMMUNICATION, ETHNIC STUDIES]"
Studies in Ethnicity and Nationalism,1473-8481,1754-9469,[ETHNIC STUDIES]
Energy Policy,0301-4215,1873-6777,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
JOURNAL OF ECONOMIC DYNAMICS & CONTROL,0165-1889,1879-1743,[ECONOMICS]
AGRICULTURAL ECONOMICS,0169-5150,1574-0862,"[AGRICULTURAL ECONOMICS & POLICY, ECONOMICS]"
INTERNATIONAL ECONOMIC REVIEW,0020-6598,1468-2354,[ECONOMICS]
European Journal of Health Economics,1618-7598,1618-7601,"[ECONOMICS, HEALTH POLICY & SERVICES]"
ECONOMETRIC THEORY,0266-4666,1469-4360,[ECONOMICS]
JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,N/A,1520-6688,"[ECONOMICS, PUBLIC ADMINISTRATION]"
Journal of Family and Economic Issues,1058-0476,1573-3475,[ECONOMICS]
JOURNAL OF ECONOMIC STUDIES,0144-3585,N/A,[ECONOMICS]
Review of International Economics,0965-7576,1467-9396,[ECONOMICS]
Review of Economics of the Household,1569-5239,1573-7152,[ECONOMICS]
Journal of International Trade & Economic Development,0963-8199,1469-9559,[ECONOMICS]
Journal of Economic Methodology,1350-178X,1469-9427,[ECONOMICS]
Climate Change Economics,2010-0078,2010-0086,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
International Review of Economics Education,1477-3880,2352-4421,[ECONOMICS]
Eurasian Economic Review,1309-422X,2147-429X,[ECONOMICS]
Economics of Transportation,2212-0122,2212-0130,"[ECONOMICS, TRANSPORTATION]"
Asia-Pacific Journal of Regional Science,2509-7946,2509-7954,"[ECONOMICS, ENVIRONMENTAL STUDIES]"
Review of Network Economics,2194-5993,1446-9022,[ECONOMICS]
South East European Journal of Economics and Business,1840-118X,2233-1999,[ECONOMICS]
Review of Behavioral Economics,2326-6198,2326-6201,[ECONOMICS]
International Journal of Economics Management and Accounting,1394-7680,1394-7680,[ECONOMICS]
Croatian Operational Research Review,1848-0225,1848-9931,[ECONOMICS]
POLITICKA EKONOMIE,0032-3233,2336-8225,[ECONOMICS]
Jahrbuch Fur Wirtschaftsgeschichte,0075-2800,2196-6842,[ECONOMICS]
Economic Theory Bulletin,2196-1085,2196-1093,[ECONOMICS]
Vestnik Sankt-Peterburgskogo Universiteta-Ekonomika-St Petersburg University Journal of Economic Studies,1026-356X,2542-226X,[ECONOMICS]
Central European Journal of Economic Modelling and Econometrics,2080-0886,2080-119X,[ECONOMICS]
Indonesian Capital Market Review,1979-8997,2356-3818,[ECONOMICS]
Transportmetrica A-Transport Science,2324-9935,2324-9943,[TRANSPORTATION]
Energy Research & Social Science,2214-6296,2214-6326,[ENVIRONMENTAL STUDIES]
One Earth,2590-3330,2590-3322,[ENVIRONMENTAL STUDIES]
Management of Environmental Quality,1477-7835,1758-6119,[ENVIRONMENTAL STUDIES]
Climate and Development,1756-5529,1756-5537,"[DEVELOPMENT STUDIES, ENVIRONMENTAL STUDIES]"
International Journal of Climate Change Strategies and Management,1756-8692,1756-8706,[ENVIRONMENTAL STUDIES]
Journal of Environmental Studies and Sciences,2190-6483,2190-6491,[ENVIRONMENTAL STUDIES]
Ecosystems and People,N/A,2639-5916,"[ECOLOGY, ENVIRONMENTAL STUDIES]"
Nature + Culture,1558-6073,1558-5468,[ENVIRONMENTAL STUDIES]
Desenvolvimento e Meio Ambiente,1518-952X,2176-9109,[ENVIRONMENTAL STUDIES]
Forests Trees and Livelihoods,1472-8028,2164-3075,"[ENVIRONMENTAL STUDIES, FORESTRY]"
Economics and Environment,2957-0387,2957-0395,[ENVIRONMENTAL STUDIES]
Environmental & Socio-Economic Studies,2354-0079,2354-0079,[ENVIRONMENTAL STUDIES]
Oxford Open Energy,N/A,2752-5082,[ENVIRONMENTAL STUDIES]
British Journal of Middle Eastern Studies,1353-0194,1469-3542,[AREA STUDIES]
Journal of North African Studies,1362-9387,1743-9345,[AREA STUDIES]
China Review-An Interdisciplinary Journal on Greater China,1680-2012,1680-2012,[AREA STUDIES]
Asia & the Pacific Policy Studies,2050-2680,2050-2680,[AREA STUDIES]
East Asia,1096-6838,1874-6284,[AREA STUDIES]
TRaNS-Trans-Regional and -National Studies of Southeast Asia,2051-364X,2051-3658,[AREA STUDIES]
Mir Rossii-Universe of Russia,1811-038X,1811-0398,[AREA STUDIES]
Cahiers des Ameriques Latines,1141-7161,2268-4247,[AREA STUDIES]
Bandung,2590-0013,2198-3534,[AREA STUDIES]
Revista Digital Mundo Asia Pacifico,2344-8172,2344-8172,[AREA STUDIES]
Bresil-s,2257-0543,2425-231X,[AREA STUDIES]
Development Southern Africa,0376-835X,1470-3637,[DEVELOPMENT STUDIES]
ECOLOGY LETTERS,1461-023X,1461-0248,[ECOLOGY]
Ecology and Evolution,2045-7758,2045-7758,[ECOLOGY]
Annual Review of Ecology Evolution and Systematics,1543-592X,1545-2069,[ECOLOGY]
ECOLOGICAL MONOGRAPHS,0012-9615,1557-7015,[ECOLOGY]
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,0305-1978,1873-2925,[ECOLOGY]
ANNALES ZOOLOGICI FENNICI,0003-455X,1797-2450,[ECOLOGY]
Polar Science,1873-9652,1876-4428,[ECOLOGY]
RANGELAND JOURNAL,1036-9872,1834-7541,[ECOLOGY]
COMPOST SCIENCE & UTILIZATION,1065-657X,2326-2397,[ECOLOGY]
POLISH JOURNAL OF ECOLOGY,1505-2249,N/A,[ECOLOGY]
Frontiers of Biogeography,1948-6596,1948-6596,[ECOLOGY]
Ecologies,N/A,2673-4133,[ECOLOGY]
International Journal of Ecology & Development,0972-9984,0973-7308,[ECOLOGY]
CITIES,0264-2751,1873-6084,[URBAN STUDIES]
Urban Forum,1015-3802,1874-6330,[URBAN STUDIES]
Revista de Urbanismo,0717-5051,0717-5051,[URBAN STUDIES]
Journal of Architecture and Planning -King Saud University,1018-3604,1018-3604,[URBAN STUDIES]
PUBLIC ADMINISTRATION REVIEW,0033-3352,1540-6210,[PUBLIC ADMINISTRATION]
INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,0190-0692,1532-4265,[PUBLIC ADMINISTRATION]
Public Policy and Administration,0952-0767,1749-4192,[PUBLIC ADMINISTRATION]
Behavioural Public Policy,2398-063X,2398-0648,[PUBLIC ADMINISTRATION]
Risk Hazards & Crisis in Public Policy,1944-4079,1944-4079,[PUBLIC ADMINISTRATION]
Journal of Forest Research,1341-6979,1610-7403,[FORESTRY]
SILVAE GENETICA,0037-5349,2509-8934,[FORESTRY]
Madera y Bosques,1405-0471,2448-7597,[FORESTRY]
Annals of Forest Research,1844-8135,2065-2445,[FORESTRY]
Jurnal Manajemen Hutan Tropika,2087-0469,2089-2063,[FORESTRY]
SAFETY SCIENCE,0925-7535,1879-1042,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
IEEE Systems Journal,1932-8184,1937-9234,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,0020-7721,1464-5319,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
NAVAL RESEARCH LOGISTICS,0894-069X,1520-6750,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
ENGINEERING OPTIMIZATION,0305-215X,1029-0273,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
OPERATIONS RESEARCH LETTERS,0167-6377,1872-7468,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Optimization Letters,1862-4472,1862-4480,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
CRIMINAL JUSTICE STUDIES,1478-601X,1478-6028,[OPERATIONS RESEARCH & MANAGEMENT SCIENCE]
Continuum-Journal of Media & Cultural Studies,1030-4312,1469-3666,[COMMUNICATION]
Journal of Media Psychology-Theories Methods and Applications,1864-1105,2151-2388,[COMMUNICATION]
Technical Communication Quarterly,1057-2252,1542-7625,[COMMUNICATION]
Communication and the Public,2057-0473,2057-0481,[COMMUNICATION]
Global Media Journal-Canadian Edition,1918-5901,1918-5901,[COMMUNICATION]
Internet Histories,2470-1475,2470-1483,[COMMUNICATION]
Journal of Gaming and Virtual Worlds,1757-191X,1757-1928,[COMMUNICATION]
Journal of African Media Studies,2040-199X,1751-7974,[COMMUNICATION]
Vivat Academia,1575-2844,1575-2844,[COMMUNICATION]
Westminster Papers in Communication & Culture,1744-6708,1744-6716,[COMMUNICATION]
Journal of Digital Media & Policy,2516-3523,2516-3531,[COMMUNICATION]
Romanian Journal of Communication and Public Relations,1454-8100,2344-5440,[COMMUNICATION]
Journal of Religion Media and Digital Culture,2588-8099,2165-9214,[COMMUNICATION]
Perspectivas de la Comunicacion,0718-4867,0718-4867,[COMMUNICATION]
International Journal of Marketing Communication and New Media,2182-9306,2182-9306,[COMMUNICATION]
Agricultural Finance Review,0002-1466,2041-6326,[AGRICULTURAL ECONOMICS & POLICY]
EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,0959-6801,1461-7129,[INDUSTRIAL RELATIONS & LABOR]
Employee Responsibilities and Rights Journal,0892-7545,1573-3378,[INDUSTRIAL RELATIONS & LABOR]
International Journal of Comparative Labour Law and Industrial Relations,0952-617X,1875-838X,[INDUSTRIAL RELATIONS & LABOR]
Revue de l IRES,1145-1378,1145-1378,[INDUSTRIAL RELATIONS & LABOR]
E-Journal of International and Comparative Labour Studies,2280-4056,2280-4056,[INDUSTRIAL RELATIONS & LABOR]
Journal of Health Services Research & Policy,1355-8196,1758-1060,[HEALTH POLICY & SERVICES]
Policy Politics & Nursing Practice,1527-1544,1552-7468,[HEALTH POLICY & SERVICES]
HOME HEALTH CARE SERVICES QUARTERLY,0162-1424,1545-0856,[HEALTH POLICY & SERVICES]
Asia Pacific Journal of Health Management,N/A,2204-3136,[HEALTH POLICY & SERVICES]
MEDICAL CARE,0025-7079,1537-1948,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,1386-5056,1872-8243,[HEALTH CARE SCIENCES & SERVICES]
HEALTH POLICY,0168-8510,1872-6054,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
HEALTH EXPECTATIONS,1369-6513,1369-7625,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
Telemedicine and e-Health,1530-5627,1556-3669,[HEALTH CARE SCIENCES & SERVICES]
AMERICAN JOURNAL OF MANAGED CARE,1088-0224,N/A,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
International Journal of Health Policy and Management,N/A,2322-5939,"[HEALTH CARE SCIENCES & SERVICES, HEALTH POLICY & SERVICES]"
